"","common_name","sci_name","year","route_num","mbbs_county","count","Percent_change_from_previous_year"
"15362","Blue-gray Gnatcatcher","Polioptila caerulea",2022,5,"orange",4,-73.3333333333333
"15363","Blue-gray Gnatcatcher","Polioptila caerulea",2022,6,"orange",4,0
"15364","Blue-gray Gnatcatcher","Polioptila caerulea",2022,7,"orange",10,150
"15365","Blue-gray Gnatcatcher","Polioptila caerulea",2022,8,"orange",14,40
"15366","Blue-gray Gnatcatcher","Polioptila caerulea",2022,9,"orange",9,-35.7142857142857
"15367","Blue-gray Gnatcatcher","Polioptila caerulea",2022,11,"orange",6,-33.3333333333333
"15368","Blue-gray Gnatcatcher","Polioptila caerulea",2022,12,"orange",3,-50
"15369","Blue-gray Gnatcatcher","Polioptila caerulea",2023,1,"orange",8,166.666666666667
"15370","Blue-gray Gnatcatcher","Polioptila caerulea",2023,3,"orange",4,-50
"15371","Blue-gray Gnatcatcher","Polioptila caerulea",2023,4,"orange",8,100
"15372","Blue-gray Gnatcatcher","Polioptila caerulea",2023,5,"orange",2,-75
"15373","Blue-gray Gnatcatcher","Polioptila caerulea",2023,6,"orange",2,0
"15374","Blue-gray Gnatcatcher","Polioptila caerulea",2023,7,"orange",10,400
"15375","Blue-gray Gnatcatcher","Polioptila caerulea",2023,9,"orange",9,-10
"15376","Blue-gray Gnatcatcher","Polioptila caerulea",2023,10,"orange",10,11.1111111111111
"15377","Blue-gray Gnatcatcher","Polioptila caerulea",2023,11,"orange",14,40
"15378","Blue-headed Vireo","Vireo solitarius",2010,1,"orange",0,NA
"15379","Blue-headed Vireo","Vireo solitarius",2010,2,"orange",0,NA
"15380","Blue-headed Vireo","Vireo solitarius",2010,8,"orange",0,NA
"15381","Broad-winged Hawk","Buteo platypterus",2010,1,"orange",0,NA
"15382","Broad-winged Hawk","Buteo platypterus",2010,2,"orange",0,NA
"15383","Broad-winged Hawk","Buteo platypterus",2010,4,"orange",1,NA
"15384","Broad-winged Hawk","Buteo platypterus",2010,5,"orange",1,NA
"15385","Broad-winged Hawk","Buteo platypterus",2010,8,"orange",0,NA
"15386","Brown Thrasher","Toxostoma rufum",1999,3,"orange",5,NA
"15387","Brown Thrasher","Toxostoma rufum",1999,4,"orange",1,NA
"15388","Brown Thrasher","Toxostoma rufum",1999,5,"orange",3,NA
"15389","Brown Thrasher","Toxostoma rufum",1999,6,"orange",2,NA
"15390","Brown Thrasher","Toxostoma rufum",1999,8,"orange",1,NA
"15391","Brown Thrasher","Toxostoma rufum",1999,10,"orange",2,NA
"15392","Brown Thrasher","Toxostoma rufum",1999,11,"orange",1,NA
"15393","Brown Thrasher","Toxostoma rufum",1999,12,"orange",1,NA
"15394","Brown Thrasher","Toxostoma rufum",2000,1,"orange",4,300
"15395","Brown Thrasher","Toxostoma rufum",2000,2,"orange",1,-75
"15396","Brown Thrasher","Toxostoma rufum",2000,4,"orange",2,100
"15397","Brown Thrasher","Toxostoma rufum",2000,5,"orange",3,50
"15398","Brown Thrasher","Toxostoma rufum",2000,6,"orange",3,0
"15399","Brown Thrasher","Toxostoma rufum",2000,7,"orange",3,0
"15400","Brown Thrasher","Toxostoma rufum",2000,10,"orange",3,0
"15401","Brown Thrasher","Toxostoma rufum",2000,12,"orange",4,33.3333333333333
"15402","Brown Thrasher","Toxostoma rufum",2001,1,"orange",3,-25
"15403","Brown Thrasher","Toxostoma rufum",2001,3,"orange",1,-66.6666666666667
"15404","Brown Thrasher","Toxostoma rufum",2001,4,"orange",2,100
"15405","Brown Thrasher","Toxostoma rufum",2001,5,"orange",2,0
"15406","Brown Thrasher","Toxostoma rufum",2001,6,"orange",1,-50
"15407","Brown Thrasher","Toxostoma rufum",2001,7,"orange",1,0
"15408","Brown Thrasher","Toxostoma rufum",2001,8,"orange",2,100
"15409","Brown Thrasher","Toxostoma rufum",2001,9,"orange",1,-50
"15410","Brown Thrasher","Toxostoma rufum",2001,10,"orange",2,100
"15411","Brown Thrasher","Toxostoma rufum",2001,12,"orange",1,-50
"15412","Brown Thrasher","Toxostoma rufum",2002,1,"orange",2,100
"15413","Brown Thrasher","Toxostoma rufum",2002,2,"orange",0,-100
"15414","Brown Thrasher","Toxostoma rufum",2002,3,"orange",2,Inf
"15415","Brown Thrasher","Toxostoma rufum",2002,4,"orange",2,0
"15416","Brown Thrasher","Toxostoma rufum",2002,5,"orange",2,0
"15417","Brown Thrasher","Toxostoma rufum",2002,7,"orange",4,100
"15418","Brown Thrasher","Toxostoma rufum",2002,9,"orange",1,-75
"15419","Brown Thrasher","Toxostoma rufum",2002,10,"orange",4,300
"15420","Brown Thrasher","Toxostoma rufum",2002,11,"orange",1,-75
"15421","Brown Thrasher","Toxostoma rufum",2002,12,"orange",4,300
"15422","Brown Thrasher","Toxostoma rufum",2003,1,"orange",2,-50
"15423","Brown Thrasher","Toxostoma rufum",2003,2,"orange",1,-50
"15424","Brown Thrasher","Toxostoma rufum",2003,5,"orange",1,0
"15425","Brown Thrasher","Toxostoma rufum",2003,6,"orange",1,0
"15426","Brown Thrasher","Toxostoma rufum",2003,10,"orange",1,0
"15427","Brown Thrasher","Toxostoma rufum",2003,12,"orange",3,200
"15428","Brown Thrasher","Toxostoma rufum",2004,1,"orange",4,33.3333333333333
"15429","Brown Thrasher","Toxostoma rufum",2004,3,"orange",4,0
"15430","Brown Thrasher","Toxostoma rufum",2004,4,"orange",2,-50
"15431","Brown Thrasher","Toxostoma rufum",2004,5,"orange",3,50
"15432","Brown Thrasher","Toxostoma rufum",2004,6,"orange",1,-66.6666666666667
"15433","Brown Thrasher","Toxostoma rufum",2004,7,"orange",7,600
"15434","Brown Thrasher","Toxostoma rufum",2004,8,"orange",1,-85.7142857142857
"15435","Brown Thrasher","Toxostoma rufum",2004,9,"orange",2,100
"15436","Brown Thrasher","Toxostoma rufum",2004,10,"orange",3,50
"15437","Brown Thrasher","Toxostoma rufum",2004,11,"orange",1,-66.6666666666667
"15438","Brown Thrasher","Toxostoma rufum",2004,12,"orange",5,400
"15439","Brown Thrasher","Toxostoma rufum",2005,1,"orange",1,-80
"15440","Brown Thrasher","Toxostoma rufum",2005,2,"orange",4,300
"15441","Brown Thrasher","Toxostoma rufum",2005,3,"orange",2,-50
"15442","Brown Thrasher","Toxostoma rufum",2005,5,"orange",2,0
"15443","Brown Thrasher","Toxostoma rufum",2005,6,"orange",1,-50
"15444","Brown Thrasher","Toxostoma rufum",2005,7,"orange",4,300
"15445","Brown Thrasher","Toxostoma rufum",2005,9,"orange",1,-75
